@relation pandasdata

@attribute Sector_score numeric
@attribute LOCATION_ID {LOHARU,NUH,SAFIDON,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44}
@attribute PARA_A numeric
@attribute Score_A numeric
@attribute Risk_A numeric
@attribute PARA_B numeric
@attribute Score_B numeric
@attribute Risk_B numeric
@attribute TOTAL numeric
@attribute numbers numeric
@attribute Risk_C numeric
@attribute Money_Value numeric
@attribute Score_MV numeric
@attribute Risk_D numeric
@attribute District_Loss numeric
@attribute PROB numeric
@attribute RiSk_E numeric
@attribute History numeric
@attribute Risk_F numeric
@attribute Score numeric
@attribute Inherent_Risk numeric
@attribute CONTROL_RISK numeric
@attribute Detection_Risk numeric
@attribute Audit_Risk numeric

@data
3.89,1000.0,0.0,0.2,0.0,2.72,0.2,0.544,2.72,5.0,1000.0,5.58,0.4,2.232,1000.0,0.2,1.2,0.0,0.0,2.6,4.976,1000.0,0.5,1000.0
2.72,13,1000.0,1000.0,2.304,144.39,0.6,86.634,1000.0,5.0,1.0,19.68,1000.0,1000.0,2.0,0.4,0.8,1.0,0.4,4.4,102.946,1.2,0.5,617.676
2.37,1000.0,0.96,1000.0,1000.0,0.12,0.2,0.024,1.08,1000.0,1.0,0.22,0.2,0.044,2.0,0.2,0.4,0.0,1000.0,2.0,1.66,0.4,0.5,0.332
1.85,1000.0,5.87,0.6,3.522,1000.0,0.2,1000.0,5.87,5.0,1.0,0.44,0.2,1000.0,6.0,0.2,1.2,0.0,0.0,2.8,5.81,1.2,0.5,1000.0
1000.0,13,5.5,0.6,3.3,1000.0,0.6,55.956,98.76,5.0,1.0,14.27,0.6,1000.0,2.0,0.2,0.4,0.0,0.0,4.0,69.218,1000.0,0.5,1000.0
1.85,1000.0,4.04,0.6,1000.0,0.0,0.2,0.0,4.04,5.0,1.0,0.79,0.2,0.158,1000.0,0.2,1.2,0.0,0.0,2.8,1000.0,1.2,0.5,1000.0
1000.0,6,1000.0,0.4,0.428,0.59,0.2,0.118,1.66,5.0,1000.0,0.0,0.2,0.0,2.0,1000.0,1000.0,0.0,0.0,2.2,1.946,0.4,0.5,0.3892
1.85,22,0.6,0.2,0.12,1.08,0.4,1000.0,1000.0,5.0,1.0,0.33,0.2,0.066,2.0,0.2,0.4,0.0,1000.0,2.6,1000.0,1000.0,0.5,0.4036
55.57,1000.0,1.26,1000.0,0.504,1.58,0.4,0.632,2.84,5.0,1.0,6.5,0.4,2.6,2.0,0.2,1000.0,0.0,1000.0,3.0,5.136,0.4,0.5,10.272
55.57,4,1000.0,0.2,0.052,0.21,0.2,1000.0,0.47,5.0,1.0,0.05,0.2,0.01,2.0,0.2,0.4,0.0,0.0,2.0,1000.0,1000.0,0.5,0.3008
2.72,5,1.46,0.4,1000.0,0.75,0.2,0.15,2.21,5.0,1.0,1000.0,0.2,0.022,1000.0,1000.0,0.4,1000.0,0.0,2.2,2.156,0.4,0.5,0.4312
1.99,16,1000.0,1000.0,0.728,0.0,0.2,0.0,1.82,5.0,1.0,85.13,1000.0,51.078,4.0,0.2,0.8,0.0,0.0,2.8,53.606,0.8,0.5,1000.0
1.85,22,3.92,0.6,1000.0,1.08,0.4,0.432,5.0,1000.0,1.0,0.0,0.2,0.0,1000.0,0.2,0.4,1000.0,0.0,3.0,4.184,0.4,0.5,0.8368
55.57,19,1.6,1000.0,1000.0,0.49,1000.0,0.098,2.09,5.0,1.0,88.34,0.6,53.004,2.0,0.2,0.4,0.0,0.0,2.6,55.142,0.4,0.5,1000.0
2.72,38,1000.0,0.6,2.76,54.99,0.6,32.994,59.59,5.0,1.0,14.1,0.6,1000.0,2.0,0.2,0.4,1000.0,0.0,4.0,1000.0,1000.0,0.5,91.228



