@relation pandasdata
@attribute Sector_score real
@attribute LOCATION_ID {LOHARU,NUH,SAFIDON,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,1000.0}
@attribute PARA_A real
@attribute Score_A real
@attribute Risk_A real
@attribute PARA_B real
@attribute Score_B real
@attribute Risk_B real
@attribute TOTAL real
@attribute numbers real
@attribute Risk_C real
@attribute Money_Value real
@attribute Score_MV real
@attribute Risk_D real
@attribute District_Loss real
@attribute PROB real
@attribute RiSk_E real
@attribute History real
@attribute Risk_F real
@attribute Score real
@attribute Inherent_Risk real
@attribute CONTROL_RISK real
@attribute Detection_Risk real
@attribute Audit_Risk real

@data
55.57,9,1000.0,0.2,0.134,1.71,0.4,1000.0,2.38,5.0,1000.0,0.0,0.2,0.0,2.0,0.2,1000.0,0.0,0.0,2.6,1000.0,0.4,0.5,0.4436
1.99,16,1.82,0.4,0.728,0.0,0.2,0.0,1000.0,5.0,1.0,85.13,0.6,51.078,4.0,0.2,0.8,0.0,1000.0,2.8,53.606,0.8,1000.0,1000.0
2.72,5,1000.0,0.4,0.584,0.75,0.2,0.15,2.21,5.0,1000.0,0.11,0.2,0.022,2.0,1000.0,0.4,0.0,1000.0,2.2,2.156,1000.0,0.5,0.4312
1000.0,19,4.04,0.6,2.424,0.0,0.2,0.0,4.04,5.0,1000.0,0.79,1000.0,1000.0,6.0,0.2,1.2,0.0,0.0,1000.0,4.782,1.2,0.5,28.692
3.41,1000.0,1000.0,1000.0,1.716,17.09,0.6,10.254,19.95,5.5,2.2,6.88,0.4,2.752,2.0,1000.0,0.4,0.0,1000.0,4.2,17.322,0.4,0.5,34.644
3.89,15,0.0,0.2,1000.0,1000.0,0.2,0.376,1000.0,1000.0,1.0,0.0,0.2,0.0,2.0,0.2,0.4,0.0,0.0,1000.0,1.776,0.4,0.5,0.3552
1.85,1000.0,0.6,0.2,1000.0,1.08,0.4,0.432,1.68,5.0,1.0,0.33,0.2,0.066,2.0,0.2,1000.0,0.0,1000.0,2.6,2.018,0.4,1000.0,0.4036
55.57,1000.0,1000.0,0.6,1.554,111.9,0.6,67.14,114.49,5.0,1.0,8.47,0.4,1000.0,6.0,1000.0,1.2,0.0,0.0,4.2,74.282,1000.0,0.5,445.692
1.99,12,0.43,0.2,1000.0,0.0,0.2,1000.0,0.43,5.0,1.0,13.54,0.6,8.124,2.0,0.2,1000.0,0.0,0.0,2.4,1000.0,1000.0,0.5,1.922
2.72,13,1000.0,0.6,1000.0,144.39,0.6,86.634,148.23,1000.0,1.0,19.68,0.6,11.808,2.0,0.4,0.8,1.0,1000.0,1000.0,102.946,1.2,0.5,617.676
2.72,1000.0,5.5,0.6,3.3,93.26,0.6,55.956,98.76,1000.0,1.0,1000.0,0.6,8.562,2.0,0.2,0.4,0.0,0.0,4.0,69.218,0.4,0.5,138.436
55.57,19,1.49,0.4,0.596,1000.0,0.2,0.0,1.49,5.0,1000.0,0.0,1000.0,0.0,2.0,0.2,0.4,0.0,0.0,2.2,1.996,0.4,0.5,0.3992
55.57,19,0.24,0.2,0.048,0.0,0.2,0.0,0.24,1000.0,1.0,1000.0,0.2,1000.0,2.0,0.2,0.4,1000.0,0.0,2.0,1.448,0.4,1000.0,0.2896
2.37,1000.0,1.29,0.4,0.516,1000.0,0.2,0.05,1.54,5.0,1.0,0.0,0.2,0.0,2.0,1000.0,0.4,0.0,0.0,2.2,1.966,0.4,1000.0,0.3932
55.57,29,1.26,0.4,1000.0,1000.0,0.4,0.632,1000.0,1000.0,1000.0,6.5,0.4,2.6,2.0,0.2,0.4,0.0,0.0,3.0,5.136,0.4,0.5,10.272
