@relation pandasdata

@attribute Sector_score real
@attribute LOCATION_ID {LOHARU,NUH,SAFIDON,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,1000.0}
@attribute PARA_A real
@attribute Score_A real
@attribute Risk_A real
@attribute PARA_B real
@attribute Score_B real
@attribute Risk_B real
@attribute TOTAL real
@attribute numbers real
@attribute Risk_C real
@attribute Money_Value real
@attribute Score_MV real
@attribute Risk_D real
@attribute District_Loss real
@attribute PROB real
@attribute RiSk_E real
@attribute History real
@attribute Risk_F real
@attribute Score real
@attribute Inherent_Risk real
@attribute CONTROL_RISK real
@attribute Detection_Risk real
@attribute Audit_Risk real
@attribute Risk {0,1}

@data
2.72,13,5.5,0.6,3.3,93.26,0.6,1000.0,98.76,1000.0,1000.0,14.27,0.6,8.562,2.0,0.2,0.4,0.0,0.0,4.0,69.218,1000.0,0.5,138.436,1
2.37,31,0.96,0.2,0.192,0.12,1000.0,0.024,1.08,5.0,1.0,1000.0,1000.0,0.044,2.0,0.2,0.4,0.0,0.0,1000.0,1.66,0.4,1000.0,0.332,0
1000.0,1000.0,1.0,0.4,1000.0,1.1,0.4,0.44,2.1,5.0,1000.0,0.0,1000.0,0.0,2.0,0.2,0.4,0.0,0.0,2.8,2.24,0.4,0.5,0.448,0
1000.0,12,0.39,0.2,0.078,1000.0,0.2,0.028,0.53,5.0,1.0,0.58,0.2,0.116,1000.0,0.2,0.4,0.0,1000.0,1000.0,1.622,0.4,0.5,0.3244,0
55.57,2,1000.0,1000.0,1.554,111.9,0.6,67.14,114.49,1000.0,1.0,8.47,0.4,3.388,6.0,0.2,1.2,0.0,0.0,4.2,1000.0,1.2,0.5,445.692,1
2.37,12,0.42,0.2,0.084,0.27,1000.0,0.054,0.69,5.0,1.0,0.0,0.2,0.0,2.0,0.2,1000.0,1000.0,0.0,1000.0,1.538,1000.0,0.5,0.3076,0
1.85,1000.0,5.87,0.6,1000.0,0.0,0.2,0.0,5.87,5.0,1.0,1000.0,0.2,0.088,6.0,0.2,1.2,0.0,0.0,2.8,1000.0,1000.0,0.5,3.486,1
2.37,28,1000.0,0.4,0.516,1000.0,0.2,1000.0,1.54,5.0,1.0,0.0,1000.0,0.0,2.0,0.2,0.4,1000.0,0.0,2.2,1.966,0.4,0.5,0.3932,0
1000.0,19,2.81,1000.0,1.686,0.11,0.2,0.022,2.92,1000.0,1.0,19.45,0.6,11.67,6.0,0.2,1.2,0.0,1000.0,3.2,15.578,1.2,0.5,93.468,1
1.99,16,1.82,0.4,0.728,0.0,1000.0,1000.0,1.82,5.0,1.0,85.13,1000.0,51.078,4.0,0.2,1000.0,1000.0,0.0,2.8,53.606,0.8,0.5,214.424,1
1000.0,1000.0,0.0,1000.0,0.0,1.88,0.2,0.376,1.88,5.0,1.0,1000.0,0.2,0.0,2.0,1000.0,0.4,0.0,0.0,2.0,1.776,0.4,0.5,0.3552,0
1000.0,22,3.92,0.6,2.352,1.08,0.4,0.432,5.0,1000.0,1.0,1000.0,1000.0,0.0,2.0,0.2,1000.0,0.0,0.0,3.0,4.184,0.4,0.5,0.8368,0
55.57,1000.0,1.6,0.4,0.64,0.49,0.2,0.098,2.09,1000.0,1000.0,88.34,0.6,53.004,2.0,0.2,0.4,0.0,0.0,2.6,55.142,1000.0,0.5,110.284,1
2.72,5,1.46,0.4,0.584,0.75,0.2,1000.0,2.21,5.0,1.0,0.11,0.2,0.022,2.0,0.2,0.4,0.0,0.0,2.2,2.156,1000.0,0.5,0.4312,0
1.85,8,0.99,0.2,0.198,0.0,0.2,1000.0,1000.0,5.0,1000.0,0.0,0.2,0.0,4.0,0.2,0.8,0.0,1000.0,2.2,1.998,0.8,0.5,0.7992,0
